id,dim1,dim2,dim3,dim4,dim5
0,0.21,0.79,0.59,0.49,0.67
1,0.77,0.34,0.05,0.88,0.13
2,0.27,0.68,0.78,0.37,0.88
3,0.25,0.77,0.82,0.58,0.82
4,0.5,0.73,0.26,0.73,0.02
5,0.95,0.78,0.27,0.12,0.97
6,0.65,0.95,0.59,0.28,0.69
7,0.95,0.71,0.7,0.49,0.11
8,0.91,0.72,0.85,0.87,0.62
9,1.0,0.75,0.09,0.49,0.45
10,0.5,0.54,0.17,0.15,0.78
11,0.1,0.55,0.81,0.72,0.98
12,0.69,0.07,0.55,0.24,0.98
13,0.6,0.41,0.46,0.43,0.52
14,0.02,0.52,0.48,1.0,0.96
15,0.43,0.72,0.24,0.23,0.92
16,0.85,0.56,0.31,0.48,0.52
17,0.53,0.33,0.51,0.5,0.73
18,0.33,0.94,0.37,0.49,0.17
19,0.16,0.99,0.79,0.38,0.74
20,0.06,0.3,0.11,0.88,0.35
21,0.61,0.17,0.86,0.04,0.43
22,1.0,0.41,0.36,0.07,0.58
23,0.57,0.93,0.52,0.15,0.27
24,0.76,0.42,0.05,0.55,0.36
25,0.44,0.72,0.94,0.7,0.44
26,0.92,0.39,0.97,0.19,0.44
27,0.11,0.16,0.73,0.61,0.6
28,0.9,0.14,0.31,0.5,0.76
29,0.71,0.7,0.69,0.58,0.16
30,0.6,1.0,0.1,0.16,0.75
31,0.32,0.09,0.43,0.99,0.02
32,0.75,0.07,0.08,0.26,0.75
33,0.19,0.63,0.12,0.16,0.21
34,0.27,0.57,0.87,0.2,0.2
35,0.85,0.56,0.11,0.36,0.73
36,0.38,0.53,0.59,0.2,0.9
37,0.23,0.83,0.22,0.25,0.28
38,0.19,0.97,0.46,0.6,0.89
39,0.39,0.4,0.2,0.42,0.36
40,0.04,0.92,0.51,0.56,0.15
41,0.91,0.7,0.97,0.36,0.44
42,0.74,0.25,0.18,0.27,0.53
43,0.07,0.59,0.26,0.5,0.19
44,0.02,0.38,0.64,0.52,0.75
45,0.5,0.2,0.5,0.71,0.67
46,0.69,0.79,0.81,0.06,0.48
47,0.52,0.47,0.63,0.73,0.6
48,0.98,0.56,0.05,0.01,0.8
49,0.6,0.08,0.59,0.66,0.12
50,0.65,0.79,0.6,0.33,0.11
51,0.61,0.14,0.23,0.3,0.72
52,0.98,0.86,0.5,0.24,0.74
53,0.37,0.08,0.27,0.83,0.7
54,0.23,0.03,0.86,0.87,0.09
55,0.56,0.37,0.92,0.11,0.56
56,0.8,0.74,0.66,0.13,0.77
57,0.75,0.42,0.19,0.62,0.32
58,0.75,0.07,0.42,0.65,0.01
59,0.27,0.29,0.66,0.58,0.25
60,0.91,0.36,0.19,0.83,0.04
61,0.42,0.07,0.11,0.21,0.18
62,0.79,0.31,0.65,0.18,0.35
63,0.15,0.34,0.8,0.57,0.01
64,0.76,0.82,0.99,0.89,0.8
65,0.59,0.69,0.3,0.61,0.37
66,0.23,0.17,0.72,0.93,0.4
67,0.78,0.36,0.64,0.19,0.69
68,0.31,0.88,0.66,0.23,0.18
69,0.04,0.13,0.45,0.58,0.74
70,0.03,0.14,0.55,0.99,0.47
71,0.05,0.88,0.83,0.45,0.18
72,0.77,0.6,0.23,0.29,0.27
73,0.58,0.85,0.56,0.46,0.7
74,0.09,0.7,0.07,0.74,0.16
75,0.63,0.6,0.92,0.5,0.21
76,0.2,0.11,0.62,0.89,0.74
77,0.85,0.26,0.35,0.91,0.44
78,0.72,0.49,0.99,0.14,0.8
79,0.23,0.87,0.11,0.77,0.58
80,0.31,0.98,0.66,0.02,0.55
81,0.22,0.57,0.01,0.61,0.47
82,0.69,0.78,0.11,0.18,0.59
83,0.97,0.98,0.32,0.65,0.73
84,0.02,0.72,0.64,0.78,0.84
85,0.59,0.63,0.75,0.94,0.81
86,0.32,0.71,0.99,0.95,0.77
87,0.39,0.26,0.88,0.17,0.12
88,0.92,0.29,0.16,0.61,0.43
89,0.63,0.75,0.89,0.14,0.47
90,0.53,0.54,0.05,0.17,0.54
91,0.76,0.56,0.16,0.85,0.98
92,0.04,0.79,0.12,0.85,0.73
93,0.85,0.06,0.86,0.78,0.11
94,0.27,0.88,0.03,0.83,0.76
95,0.02,0.65,0.14,0.77,0.09
96,0.23,0.27,0.9,0.88,0.38
97,0.43,0.59,0.01,0.4,0.86
98,0.52,0.64,0.77,0.2,0.51
99,0.06,0.16,0.64,0.52,0.63
